"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"000","02",100,220,2,-1,-1,-1
"000","02",100,220,2,-1,-1,-1
"000","02",80,120,3,-1,-1,-1
"000","02",80,120,3,-1,-1,-1
"000","02",60,60,3,-1,-1,-1
"000","02",250,340,2,-1,-1,-1
"000","02",250,340,2,-1,-1,-1
"000","02",250,340,2,-1,-1,-1
"000","02",250,340,2,-1,-1,-1
"000","02",250,340,2,-1,-1,-1
"000","02",100,30,2,-1,-1,-1
"000","02",250,240,2,-1,-1,-1
"000","02",250,240,2,-1,-1,-1
"000","02",70,240,3,-1,-1,2
"000","02",70,240,3,-1,-1,2
"000","02",70,240,3,-1,-1,2
"000","02",90,60,2,-1,2,2
"000","02",150,140,2,-1,-1,-1
"000","02",150,140,2,-1,-1,-1
"000","02",400,420,2,-1,2,3
"000","02",80,150,2,-1,-1,-1
"000","02",50,50,3,-1,-1,-1
"000","02",50,50,3,-1,-1,-1
"000","02",150,150,-2,-1,-1,-1
"000","02",150,150,-2,-1,-1,-1
"000","02",250,250,1,-1,-1,-1
"000","02",250,250,1,-1,-1,-1
"000","02",180,180,3,-1,2,2
"000","02",500,300,3,-1,2,2
"000","02",500,300,3,-1,2,2
"000","02",500,300,3,-1,2,2
"000","02",200,650,3,-1,2,3
"000","02",200,650,3,-1,2,3
"000","02",200,650,3,-1,2,3
"000","02",200,650,3,-1,2,3
"000","02",160,160,2,-1,-1,-1
"000","02",120,120,2,-1,-1,-1
"013","04",150,270,2,-1,-1,-1
"013","04",150,270,2,-1,-1,-1
"013","04",250,370,2,-1,-1,-1
"013","04",250,370,2,-1,-1,-1
"013","04",250,230,2,-1,-1,-1
"013","04",210,210,1,150,-2,2
"013","04",210,210,1,150,-2,2
"013","04",210,210,1,150,-2,2
"013","04",210,210,1,150,-2,2
"013","04",50,40,3,-1,2,3
"013","04",50,40,3,-1,2,3
"013","04",40,80,3,-1,2,3
"013","04",60,100,3,-1,2,3
"013","04",60,100,3,-1,2,3
"013","04",60,100,3,-1,2,3
"013","04",60,100,3,-1,2,3
"013","04",60,60,2,-1,-1,-1
"013","04",200,350,2,-1,-1,-1
"013","04",200,350,2,-1,-1,-1
"013","04",200,350,2,-1,-1,-1
"013","04",200,350,2,-1,-1,-1
"013","04",360,360,1,100,2,3
"013","04",360,360,1,100,2,3
"013","04",360,360,1,100,2,3
"013","04",360,360,1,100,2,3
"013","04",150,240,2,-1,-1,-1
"013","04",150,240,2,-1,-1,-1
"013","04",150,240,2,-1,-1,-1
"013","04",150,240,2,-1,-1,-1
"013","04",30,70,2,-1,2,3
"013","04",210,210,2,-1,2,3
"013","04",210,210,2,-1,2,3
"013","04",210,210,2,-1,2,3
"013","04",140,130,2,-1,2,3
"013","04",160,270,2,-1,2,3
"013","04",160,270,2,-1,2,3
"013","04",100,300,2,-1,-1,-1
"019","04",130,130,3,-1,-1,-1
"019","04",130,130,3,-1,-1,-1
"019","04",200,170,2,-1,-1,-1
"019","04",200,170,2,-1,-1,-1
"019","04",200,170,2,-1,-1,-1
"019","04",100,90,3,-1,2,3
"019","04",100,90,3,-1,2,3
"019","04",100,90,3,-1,2,3
